objid,specobjid,class,ra,dec,redshift,u_g,g_r,r_i,i_z
1237648722290934014,301850054082193408,GALAXY,149.138841807704,0.643597365902716,0.1090213,1.599577,0.7788906,0.362978,0.2561035
1237648722290934016,301847030425217024,GALAXY,149.139640193191,0.750870928545649,0.04617104,0.9916248,0.3282967,0.1743679,0.1603203
1237648722290999349,301853627494983680,GALAXY,149.228090347371,0.837840907921954,0.1735455,1.254204,0.8814373,0.4906673,0.280138
1237648722290999434,301857200907773952,GALAXY,149.176182792982,0.757003834550747,0.1255851,1.290129,0.7105064,0.4300957,0.2638626
1237648722290999466,301854727006611456,GALAXY,149.194591189922,0.816589384234754,0.06260738,1.523054,0.7138863,0.3723927,0.2971992
1237648722290999549,301859125053122560,GALAXY,149.290014646301,0.668758403198695,0.06538612,1.578201,0.7635136,0.4537373,0.315649
1237648722291064875,301860224564750336,GALAXY,149.338567408583,0.706424028704254,0.08737121,1.156414,0.534071,0.4953032,0.1353254
1237648722291065018,301860499442657280,GALAXY,149.30469399419,0.702185169661834,0.0651919,1.505617,0.6855659,0.4388542,0.3179817
1237648722291065035,301856926029867008,GALAXY,149.329901571937,0.690806111396912,0.08633437,1.1171,0.475975,0.3452377,0.1543293
1237648722291065049,301851978227542016,GALAXY,149.337680253215,0.814933790542812,0.03853054,1.335669,0.569046,0.306263,0.2528839
1237648722297815045,310921304519763968,GALAXY,164.720309360106,0.679704451753475,0.03946274,1.39052,0.6553984,0.3772154,0.2708139
1237648722320162973,343488559090526208,GALAXY,215.774269492373,0.810665572172017,0.05380911,1.710136,0.8151569,0.3619347,0.29669
1237648722320163101,343490208357967872,GALAXY,215.889262155134,0.731445811457921,0.08547468,1.946299,0.8996449,0.4060574,0.349102
1237648722320163210,4534068288528078848,GALAXY,215.818339089705,0.826602122001818,0.05291009,0.6835957,0.1129913,0.117775,0.3890972
1237648722320163301,4534079558522263552,GALAXY,215.774023327187,0.782831129044184,0.5114805,1.586233,1.908024,0.9523258,0.3356133
1237648722320163625,4534068838283892736,GALAXY,215.882978837562,0.799639452737647,0.4105143,1.559204,1.626041,0.6902809,0.4807167
1237648722321146084,4531908018376562688,GALAXY,218.085296816994,0.842721064804316,0.4791813,0.7088127,1.426153,0.8048096,0.5491886
1237648722816140482,5390964708538079232,GALAXY,122.476837023657,1.15972009002316,0.4889641,1.478243,1.776098,0.8594761,0.4886627
1237648722816205343,5390963883904358400,GALAXY,122.510556691464,1.24972809371122,0.225941,2.679346,1.436045,0.5315285,0.4075394
1237648722816271387,5390974054386915328,GALAXY,122.654632832231,1.07809289998114,0.6411297,1.065371,1.500134,0.9680843,0.4394131
1237648722816730486,5391065038974113792,GALAXY,123.833355137041,1.07317433796587,0.388456,3.06514,1.83411,0.6756458,0.3809071
1237648722816795682,5391064489218299904,GALAXY,123.935501057751,1.16549772116664,0.3484051,3.095079,1.768166,0.64151,0.3999481
1237648722816795805,5391063114828765184,GALAXY,123.871298071814,1.20100214000614,0.4963599,2.678448,1.86903,0.8084679,0.5468903
1237648722816861283,5391074659700856832,GALAXY,124.024605813589,1.09412334193137,0.4185737,1.751566,1.526306,0.757864,0.3262501
1237648722816861311,5391074384822949888,GALAXY,124.03303291118,1.14181668578883,0.4170046,0.8781624,1.825796,0.6971073,0.4246807
1237648722816861409,5391073560189229056,GALAXY,124.06505552834,1.17962924210766,0.6341306,1.733732,1.251978,0.9559021,0.3425999
