#Table1
u,g,r,i,z,class,z1,zerr
18.38798,17.03145,16.36942,15.96403,15.63615,GALAXY,0.0461079,4.384941E-06
17.91952,18.20161,18.66725,19.05601,19.37736,STAR,-0.0002653888,2.342233E-05
19.15769,18.0122,17.52133,17.20643,16.98987,GALAXY,0.0511675,8.647708E-06
17.89829,16.75937,16.25437,16.03471,15.92447,STAR,0.0008740649,1.051418E-05
18.91932,17.40209,16.79622,16.58685,16.46465,STAR,0.0003797037,9.159095E-06
19.13819,17.61514,16.94851,16.6697,16.52109,STAR,-0.0005950059,1.167501E-05
17.84446,16.44266,15.79516,15.43682,15.2163,GALAXY,0.05025404,1.431282E-05
19.49926,18.34963,17.86707,17.56352,17.40388,GALAXY,0.06480163,8.292851E-06
19.29405,17.77944,17.403,17.12541,17.17732,GALAXY,0.05633958,8.783804E-06
17.77642,16.47658,16.43989,16.47638,16.4951,STAR,-0.0009555783,8.840898E-06
16.07693,14.01548,13.1194,12.6565,12.42272,GALAXY,0.03099427,8.445176E-06
18.87774,17.8215,17.46485,17.31273,17.23733,STAR,-0.0004623762,1.169008E-05
19.3073,18.37699,18.08779,17.98011,17.97124,STAR,-0.0009342461,1.654903E-05
19.40142,17.81681,17.11476,16.76309,16.50264,GALAXY,0.0580278,4.456378E-05
19.35678,18.25966,17.76188,17.37776,17.23693,GALAXY,0.1325404,7.055784E-06
18.37484,16.26069,15.38093,15.07016,14.8884,STAR,5.78345E-05,6.446966E-06
18.27339,17.00881,16.33486,15.94963,15.67077,GALAXY,0.05671899,7.836961E-06
19.46019,17.90292,17.11166,16.65256,16.34226,GALAXY,0.06750042,2.374979E-05
18.02507,17.08013,16.70768,16.56294,16.49833,STAR,-0.001457382,1.314926E-05
18.79295,17.39977,16.86559,16.65136,16.56919,STAR,-0.0001385733,7.355703E-06
18.18863,17.08113,16.62766,16.4087,16.3047,GALAXY,0.03468166,9.799019E-06
